start_station_name,date,num_trips
Harry Bridges Plaza (Ferry Building),12/6/2015,5
Harry Bridges Plaza (Ferry Building),4/14/2016,52
Harry Bridges Plaza (Ferry Building),5/7/2016,12
Harry Bridges Plaza (Ferry Building),8/31/2016,53
Harry Bridges Plaza (Ferry Building),10/20/2013,27
Harry Bridges Plaza (Ferry Building),8/16/2014,32
Harry Bridges Plaza (Ferry Building),1/16/2016,11
Harry Bridges Plaza (Ferry Building),9/9/2013,37
Harry Bridges Plaza (Ferry Building),1/24/2014,45
Harry Bridges Plaza (Ferry Building),4/6/2014,15
Harry Bridges Plaza (Ferry Building),3/1/2016,64
Harry Bridges Plaza (Ferry Building),4/27/2016,52
Harry Bridges Plaza (Ferry Building),6/25/2016,38
Harry Bridges Plaza (Ferry Building),11/5/2013,58
Harry Bridges Plaza (Ferry Building),11/18/2013,38
Harry Bridges Plaza (Ferry Building),8/29/2014,71
Harry Bridges Plaza (Ferry Building),7/25/2014,53
Harry Bridges Plaza (Ferry Building),8/25/2015,58
Harry Bridges Plaza (Ferry Building),5/11/2015,55
Harry Bridges Plaza (Ferry Building),9/9/2014,63
Harry Bridges Plaza (Ferry Building),8/29/2013,43
Harry Bridges Plaza (Ferry Building),10/1/2013,50
Harry Bridges Plaza (Ferry Building),12/10/2013,36
Harry Bridges Plaza (Ferry Building),12/20/2013,47
Harry Bridges Plaza (Ferry Building),1/17/2014,55
Harry Bridges Plaza (Ferry Building),8/28/2014,59
Harry Bridges Plaza (Ferry Building),6/17/2015,69
Harry Bridges Plaza (Ferry Building),4/28/2015,63
Harry Bridges Plaza (Ferry Building),4/15/2015,63
Harry Bridges Plaza (Ferry Building),1/26/2015,58
Harry Bridges Plaza (Ferry Building),12/12/2014,32
Harry Bridges Plaza (Ferry Building),6/7/2016,59
Harry Bridges Plaza (Ferry Building),9/29/2013,41
Harry Bridges Plaza (Ferry Building),10/14/2013,58
Harry Bridges Plaza (Ferry Building),12/17/2013,52
Harry Bridges Plaza (Ferry Building),1/10/2014,40
Harry Bridges Plaza (Ferry Building),7/7/2014,54
Harry Bridges Plaza (Ferry Building),8/18/2015,61
Harry Bridges Plaza (Ferry Building),4/20/2015,59
Harry Bridges Plaza (Ferry Building),4/17/2015,57
Harry Bridges Plaza (Ferry Building),9/12/2014,64
Harry Bridges Plaza (Ferry Building),11/19/2013,28
Harry Bridges Plaza (Ferry Building),7/18/2014,33
Harry Bridges Plaza (Ferry Building),7/12/2014,42
Harry Bridges Plaza (Ferry Building),5/23/2014,48
Harry Bridges Plaza (Ferry Building),8/17/2015,65
Harry Bridges Plaza (Ferry Building),9/11/2014,64
Harry Bridges Plaza (Ferry Building),1/21/2016,62
Harry Bridges Plaza (Ferry Building),3/23/2016,61
Harry Bridges Plaza (Ferry Building),4/9/2016,7
Harry Bridges Plaza (Ferry Building),12/9/2013,26
Harry Bridges Plaza (Ferry Building),1/4/2014,30
Harry Bridges Plaza (Ferry Building),1/21/2014,58
Harry Bridges Plaza (Ferry Building),1/22/2014,53
Harry Bridges Plaza (Ferry Building),6/1/2015,57
Harry Bridges Plaza (Ferry Building),3/24/2015,75
Harry Bridges Plaza (Ferry Building),10/5/2015,65
Harry Bridges Plaza (Ferry Building),12/2/2013,32
Harry Bridges Plaza (Ferry Building),12/31/2013,26
Harry Bridges Plaza (Ferry Building),2/5/2014,34
Harry Bridges Plaza (Ferry Building),6/6/2014,57
Harry Bridges Plaza (Ferry Building),3/16/2014,44
Harry Bridges Plaza (Ferry Building),3/8/2014,53
Harry Bridges Plaza (Ferry Building),6/14/2015,29
Harry Bridges Plaza (Ferry Building),9/21/2015,77
Harry Bridges Plaza (Ferry Building),4/18/2016,66
Harry Bridges Plaza (Ferry Building),5/27/2016,60
Harry Bridges Plaza (Ferry Building),6/24/2016,61
Harry Bridges Plaza (Ferry Building),9/17/2013,41
Harry Bridges Plaza (Ferry Building),11/8/2013,51
Harry Bridges Plaza (Ferry Building),8/3/2014,23
Harry Bridges Plaza (Ferry Building),5/6/2014,49
Harry Bridges Plaza (Ferry Building),5/8/2015,59
Harry Bridges Plaza (Ferry Building),9/11/2015,51
Harry Bridges Plaza (Ferry Building),2/25/2016,64
Harry Bridges Plaza (Ferry Building),5/3/2016,68
Harry Bridges Plaza (Ferry Building),8/30/2013,42
Harry Bridges Plaza (Ferry Building),11/12/2013,54
Harry Bridges Plaza (Ferry Building),3/5/2015,48
Harry Bridges Plaza (Ferry Building),11/22/2014,19
Harry Bridges Plaza (Ferry Building),5/11/2016,63
Harry Bridges Plaza (Ferry Building),8/13/2016,88
Harry Bridges Plaza (Ferry Building),1/27/2014,40
Harry Bridges Plaza (Ferry Building),2/19/2014,39
Harry Bridges Plaza (Ferry Building),3/1/2014,40
Harry Bridges Plaza (Ferry Building),6/5/2015,61
Harry Bridges Plaza (Ferry Building),4/2/2015,67
Harry Bridges Plaza (Ferry Building),12/8/2015,50
Harry Bridges Plaza (Ferry Building),12/22/2015,18
Harry Bridges Plaza (Ferry Building),7/8/2016,46
Harry Bridges Plaza (Ferry Building),7/11/2016,56
Harry Bridges Plaza (Ferry Building),6/16/2015,71
Harry Bridges Plaza (Ferry Building),9/25/2014,51
Harry Bridges Plaza (Ferry Building),2/6/2016,12
Harry Bridges Plaza (Ferry Building),6/17/2016,59
Harry Bridges Plaza (Ferry Building),8/5/2015,75
Harry Bridges Plaza (Ferry Building),12/3/2013,32
Harry Bridges Plaza (Ferry Building),6/23/2014,43
Harry Bridges Plaza (Ferry Building),5/2/2016,60
Harry Bridges Plaza (Ferry Building),5/14/2016,34
Harry Bridges Plaza (Ferry Building),8/14/2016,82
Harry Bridges Plaza (Ferry Building),8/30/2016,69
Harry Bridges Plaza (Ferry Building),12/28/2013,33
Harry Bridges Plaza (Ferry Building),6/27/2014,55
Harry Bridges Plaza (Ferry Building),2/3/2016,35
Harry Bridges Plaza (Ferry Building),1/18/2014,37
Harry Bridges Plaza (Ferry Building),7/15/2014,45
Harry Bridges Plaza (Ferry Building),6/4/2014,44
Harry Bridges Plaza (Ferry Building),3/23/2014,26
Harry Bridges Plaza (Ferry Building),5/4/2016,67
Harry Bridges Plaza (Ferry Building),6/4/2016,23
Harry Bridges Plaza (Ferry Building),7/25/2016,67
Harry Bridges Plaza (Ferry Building),8/8/2016,76
Harry Bridges Plaza (Ferry Building),7/1/2014,53
Harry Bridges Plaza (Ferry Building),3/7/2015,24
Harry Bridges Plaza (Ferry Building),10/24/2014,78
Harry Bridges Plaza (Ferry Building),9/8/2014,53
Harry Bridges Plaza (Ferry Building),9/5/2014,51
